5 0 0
1 10
2 10
3 10
4 10
5 10

5 0 0
1 10
2 10
3 10
4 10
5 10

5 0 0
1 10
2 10
3 10
4 10
5 10

5 0 0
1 10
2 10
3 10
4 10
5 10

25

100
R 1 N 1     10 54 A
R 1 N 2     10 70 A
R 1 N 3     10 69 C
R 1 N 4     10 181 A
R 1 N 5     10 9 C
R 1 N 6     10 87 B
R 1 N 7     10 33 A
R 1 V 8     10 39 A
R 1 V 9     10 59 C
R 1 N 10    10 989 C
R 1 N 11    10 153 A
R 1 N 12    10 250 C
R 1 N 13    10 501 A
R 1 N 14    10 823 A
R 1 N 15    10 369 A
R 1 N 16    10 841 A
R 1 V 17    10 597 B
R 1 N 18    10 177 C
R 1 N 19    10 353 B
R 1 N 20    10 277 C
R 1 N 21    10 869 A
R 1 N 22    10 614 A
R 1 V 23    10 548 B
R 1 N 24    10 308 A
R 1 N 25    10 695 B
R 1 V 26    10 498 A
R 1 N 27    10 733 A
R 1 N 28    10 782 A
R 1 N 29    10 679 B
R 1 V 30    10 819 C
R 1 V 31    10 716 B
R 1 V 32    10 547 A
R 1 N 33    10 749 B
R 1 N 34    10 825 C
R 1 V 35    10 405 B
R 1 N 36    10 368 B
R 1 N 37    10 921 B
R 1 N 38    10 671 A
R 1 N 39    10 575 A
R 1 N 40    10 306 A
R 1 N 41    10 721 A
R 1 V 42    10 384 A
R 1 N 43    10 301 C
R 1 V 44    10 271 A
R 1 V 45    10 939 B
R 1 N 46    10 772 C
R 1 V 47    10 450 A
R 1 N 48    10 278 C
R 1 N 49    10 969 A
R 1 N 50    10 399 C
R 1 N 51    10 115 B
R 1 N 52    10 635 A
R 1 N 53    10 499 A
R 1 N 54    10 692 C
R 1 N 55    10 487 B
R 1 N 56    10 437 A
R 1 N 57    10 368 A
R 1 N 58    10 864 C
R 1 V 59    10 225 A
R 1 N 60    10 232 C
R 1 N 61    10 588 B
R 1 N 62    10 224 B
R 1 N 63    10 695 A
R 1 V 64    10 496 A
R 1 N 65    10 896 C
R 1 N 66    10 158 A
R 1 N 67    10 267 A
R 1 N 68    10 732 A
R 1 N 69    10 225 C
R 1 N 70    10 493 B
R 1 N 71    10 738 C
R 1 N 72    10 359 C
R 1 N 73    10 770 A
R 1 N 74    10 986 A
R 1 N 75    10 170 A
R 1 N 76    10 421 A
R 1 V 77    10 778 A
R 1 N 78    10 106 A
R 1 N 79    10 376 A
R 1 V 80    10 883 A
R 1 N 81    10 281 B
R 1 V 82    10 492 B
R 1 N 83    10 377 A
R 1 N 84    10 815 B
R 1 N 85    10 312 A
R 1 N 86    10 550 A
R 1 N 87    10 549 A
R 1 N 88    10 901 C
R 1 N 89    10 397 A
R 1 N 90    10 614 B
R 1 N 91    10 834 B
R 1 V 92    10 341 B
R 1 N 93    10 367 A
R 1 V 94    10 308 B
R 1 V 95    10 956 A
R 1 N 96    10 983 A
R 1 N 97    10 825 A
R 1 N 98    10 781 A
R 1 V 99    10 420 A
R 1 N 100   10 250 A
